,abbv,term
83,RDAs,recommended daily allowances
84,MOCVD,Metal organic chemical vapour deposition
85,AOR,automated order routers
86,EEBD,Emergency escape breathing devices
87,MEPC,Marine Environment Protection Committee
88,MODU,mobile offshore drilling units
89,SDM,SORTBROGET DANSK MALKERACE
90,MSIMD,Multiple Single Instruction Multiple Data
91,AG,According to Gildemeister
92,DE,D'APPLICATIONS ET
93,GRI,general rate increase
94,SNS,Sole Net Survey
95,FP,FR0000130577 PUB
96,DGES,Directoraat Generaal Europese Samenwerking
97,SME,small or medium-sized enterprise
98,MTG,MODERN TIMES GROUP
99,EDTA,Endocrine Disrupter Testing and Assessment
100,DTC,diagnostic trouble code
101,HCl,Hydrogen chloride
102,SCAN,Scientific Committee for Animal Nutrition
103,AIP,Air Independent Propulsion
104,IRR,Internal rate of return
105,BCE,BCE CT Equity
106,IKA,IDRYMA KOINONIKON ASFALISEON
107,EDs,endocrine disrupters
108,ARC,airworthiness review certificate
109,MRLs,Maximum residue levels
110,MCH,mean corpuscular haemoglobin
111,ESRB,European Systemic Risk Board
112,EMMI,European Money Markets Institute
113,MPE,mean photo effect
114,SAFA,Safety Assessment of Foreign Aircraft
115,NOTE,NUMBER OF THE EXIT
116,TYMC,Total yeast and mould count
117,STM,supplementary trade mechanism
118,QCS,Quality Certification Services
119,NA,NL0000334118 ASM
120,BRP,Benthos release panel
121,SML,specific migration limits
122,IFCD,interface and functionalities control document
123,ELIA,European League of Institutes of the Arts
124,EDF,Electricité de France
125,BTS,Beam Trawl Survey
126,HC,HCconce= concentration of
127,PSC,Points of Single Contact
128,EAGGF,European Agricultural Guidance and Guarantee Fund
129,BVSc,Bachelor of Veterinary Science
130,ERGEG,European Regulators Group for Electricity and Gas
131,SWD,staff working document
132,CCE,current counterparty exposure
133,VN,Viet Nam
134,MRLs,maximum residue levels
135,RBr,RETAIL BROKERAGE
136,GATT,General Agreement on tariffs and trade
137,TDI,tolerable daily intakes
138,SSR,Stichting Studiecentrum Rechtspleging
139,AECS,auxiliary emission control strategy
140,BBP,benzyl butyl phthalate
141,DE,DEFINITION EAU-DE-VIE
142,IAASB,International Auditing and Assurance Standards Board
143,AOCS,American Oil Chemists Society
144,ADNA,Average daily notional amount
145,USA,United States of America
146,HA,high annoyance
147,BA,British Airways
148,ATCS,Automatic Train Control System
149,HL,heading line
150,SDSs,safety data sheets
151,HFID,HC-analysis with the flame ionization detector
152,NDC,nationally determined contribution
153,ERDF,European Regional Development Fund
154,IA,included in Annex
155,GN,gill nets
156,LDP,Low Default Portfolios
157,CFU,colony forming units
158,IPL,intense pulsed light
159,VTS,vessel traffic services
160,AMPs,accepted market practices
161,ECDIS,Electronic Chart Display and Information System
162,NEPT,new exporting producer treatment
163,CoC,Committee of Contributors
164,VAT,Value added tax
165,EV,enterprise value
166,IFCD,Interface and Functionalities Control Document
167,KIS,Kmetijski inštitut Slovenije
168,OO,OO OO o o
169,MRCVS,Membership of the Royal College of Veterinary Surgeons
170,DGIS,Directoraat Generaal Internationale Samenwerking
171,NGN,next generation networks
172,SEAir,South East Asian Airlines
173,VAT,Value Added Tax
174,FEFC,Far Eastern Freight Conference
175,SA,State aid
176,CCNR,Central Commission for Navigation on the Rhine
177,SE,Societas Europaea or
178,DE,DESIGNATION EXACTE
179,MPC,Maximum permissible concentration
180,EAGF,European Agricultural Guarantee Fund
181,GMO,genetically modified organism
182,MTD,Maximum tolerated dose
183,PAR,precision approach radar
184,NGA,next generation access
185,PAC,pulverised activated carbon
186,POY,PARTIALLY ORIENTED YARN
187,CERs,certified emission reductions
188,UDS,UNSCHEDULED DNA SYNTHESIS
189,MFIs,monetary financial institutions
190,IA,IN ANNEX
191,FPGAs,Field Programmable Gate Arrays
192,HLDTs,Handcrafted luminous discharge tubes
193,VRN,vehicle registration number
194,UCITS,Undertaking for Collective Investment in Transferable Securities
195,OO,OO OO
196,CEP,Circle of Equal Probability
197,CT,computer tomography
198,DA,de amonio
199,ALI,airworthiness limitation item
200,EBL,electronic bearing line
201,CPC,Committee for the Protection of Competition
202,OJT,On the Job Training
203,ESDF,Economic and Social Development Fund
204,DT,dilution tunnel
205,ECF,energy calculation function
206,ICES,International Council for the Exploration of the Seas
207,TS,test solution
208,ITAB,INTERNATIONAL TRANS AIR BUSINESS
209,UDS,Unscheduled DNA Synthesis
210,GSI,gear shift indicators
211,DIC,dissolved inorganic carbon
212,TSIs,Technical specifications for interoperability
213,CPC,certificates of professional competence
214,CVD,Chemical vapour deposition
215,CBMs,Confidence Building Measures
216,CR,CAPITAL REQUIREMENTS
217,FIU,financial intelligence unit
218,SMS,Safety Management System
219,FCTC,Framework Convention on Tobacco Control
220,IPI,Iranian Pharmaceuticals Inc.
221,CBZ,College Bouw Ziekenhuisvoorzieningen
222,SCCS,Scientific Committee on Consumer Safety
223,DPD,Deutscher Paket Dienst
224,SDR,special drawing rights
225,MDF,Medium density fibreboard
226,MDA,maximum distributable amount
227,TRF,Total Reduction Factor
228,FPDC,Food Procurement and Distribution Centre
229,CDS,credit default swap
230,ToR,terms of reference
231,BaA,Benzo a ) anthracene
232,DSP,Diarrhetic Shellfish Poison
233,CSMs,common safety methods 
234,GMDSS,Global Maritime Distress and Safety System
235,CAA,Crypto Approval Authority
236,ΟΕΟΠ,Οίνος Ελεγχόμενης Ονομασίας Προέλευσης
237,UCITS,undertaking for collective investment in transferable securities
238,SEER,Seasonal energy efficiency ratio
239,NSAs,national statistical authorities
240,MCV,mean corpuscular volume
241,WFP,World Food Programrhe
242,CVD,Chemical Vapour Deposition
243,MCCs,material changes in circumstances 
244,BSE,Bovine Spongiform Encephalopathy
245,SA,Sodexho Alliance
246,OECD,Organization for Economic Cooperation and Development
247,EB,Exploding bridge
248,VC,Vinyl chloride
249,BEPS,Base Erosion and Profit Shifting
250,RBDV,Raspberry bushy dwarf virus
251,ATA,automatic tracking aid
252,VRD,vehicle registration data
253,VDR,voyage data recorder
254,UCC,Union Carbide Corporation
255,INNs,international non-proprietary names
256,CW,Chemical warfare
257,SUMP,Sustainable Urban Mobility Plan
258,SPF,seasonal performance factor
259,FISIM,Financial intermediation services indirectly measured
260,CEVd,Citrus exocortis viroid
261,BSE,bovine spongiform encephalitis
262,SRD,Short Range Devices
263,SS,SE0000193120 SHBA
264,MT,mértékben tűzveszélyes
265,VRS,Voluntary Retirement Scheme
266,AIFMs,alternative investment fund managed by
267,GT,general total
268,AEBS,Advanced Emergency Braking Systems
269,AVCP,assessment and verification of constancy of performance
270,PSV,Polished stone value
271,PECS,Predicted environmental concentration in soil
272,OEHHA,Office of Environmental Health Hazard Assessment
273,IOTC,Indian Ocean Tuna Commission
274,SSRC,Scientific Studies and Research Centre
275,VARI,Valvole Aerosol Research Italiana
276,ARPA,Automatic radar plotting aid
277,SP,sampling probes
278,CSDs,central securities depositories
279,BV,Bureau Veritas
280,IRBA,Independent Regulatory Board for Auditors
281,IRKK,internationale Røde Kors Komité
282,PAP,public access profile
283,HACCP,hazard analysis and critical control points
284,PDOs,protected designations of origin
285,WCO,World Customs Organisation
286,VOCs,volatile organic compounds
287,MMAD,mass median aerodynamic diameter
288,MRLs,Maximum Residue Limits
289,PAC,Pacific Accreditation Cooperation
290,NIFs,Note issuance facilities
291,CPL,commercial pilot licence
292,CRAs,credit rating agencies
293,MPE,Maximum Permissible Error
294,BRV,Blackcurrant reversion virus
295,LGD,loss given default
296,RM,Registered Midwife
297,FLEG,Forest Law Enforcement and Governance
298,PIF,photo irritation factor
299,EVC,EFTA Veterinary Committee
300,SDR,Software Defined Radio
301,WLR,Wholesale Line Rental
302,RS,Register of Shipping
303,NCAs,national competent authorities
304,FSM,Federated States of Micronesia
305,IP,increase its prices in the
306,FPOi,floating point operations
307,MAS,Maritime assistance services
308,SRM,specified risk material
309,UCTE,Union for the Coordination of Transmission of Electricity
310,TOC,Total organic carbon
311,STM,Supplementary Trade Mechanism
312,ICR,Internal Control Regulations
313,NA,NL0006034001 ASML
314,EIA,Environmental Impact Assessment
315,SFPs,Structured Finance Products
316,VHS,viral haemorrhagic septicaemia
317,VDK,VERKAUFSGEMEINSCHAFT DEUTSCHER KALIWERKE
318,BCC,Barakat Computer Consulting
319,RICS,Royal Institution of Chartered Surveyors
320,RIS,river information services
321,RFMO,Regional Fisheries Management Organisation
322,IPLCs,international private leased circuits
323,TER,transcutaneous electrical resistance
324,UK,United Kingdom and
325,MIC,minimum inhibitory concentration
326,LT,longitudinal tilt
327,ESFS,European System of Financial Supervisors
328,EAF,economic accounts for forestry
329,BAT,best available techniques from
330,EFSF,European Financial Stability Facility
331,AMA,Advanced measurement approaches
332,IHN,Infectious haematopoetic necrosis
333,GSP,generalised system of preferences
334,SED,Structured Electronic Document
335,WMD,Weapons of Mass Destruction
336,LAC,LIGNES AÉRIENNES CONGOLAISES
337,BIA,Basic Indicator approach
338,GBAE,General Bureau of Atomic Energy
339,CPA,closest point of approach
340,ITTO,International Tropical Timber Organisation
341,NOx,nitrogen oxides
342,ETNS,European Telephony Numbering Space
343,TN,Total Nitrogen
344,JI,joint implementation
345,INN,international non-proprietary names
346,IAS,International Accounting Standards
347,CSV,Centraal Stikstof Verkoopkantoor
348,VaR,Value at Risk
349,EUAA,European Union Aviation Allowance
350,MCP,master control panel
351,FTB,Foreign Trade Bank
352,GOFI,General Organization of Food Industries
353,CSIs,common safety indicators
354,TSIs,Technical Specifications for Interoperability
355,CAC,Conformitas Agraria Communitatis
356,EIA,environmental impact assessment
357,CMM,co-ordinate measuring machines
358,AE,Alternative Energy
359,GFCM,General Fisheries Commission for the Mediterranean
360,GS,GROUP SOLVENCY
361,PGIs,protected geographical indications
362,IACS,Integrated Administration and Control System
363,BiH,Bosnia and Herzegovina
364,PTA,pure terephthalic acid
365,ECD,Economische Controle dienst
366,EPR,Extended Producer Responsibility
367,UCITS,undertakings for collective investments in transferable securities
368,APR,All Price Risk
369,MAEI,Ministry of Atomic Energy Industry
370,ACER,Agency for the Cooperation of Energy Regulators
371,PD,probability of default
372,CR,Capital Requirements
373,LLC,lowest lethal concentration
374,EBS,Electronic brake system
375,SFTs,securities financing transactions
376,NEAFC,North East Atlantic Fisheries Convention
377,CTPs,consolidated tape providers
378,MS,mass spectra
379,DPAs,Data Protection Authorities
380,SUMPs,sustainable urban mobility plans
381,CIS,Commonwealth of Independent States
382,FOB,functional observational battery
383,US,US8574771031 STT
384,CAP,Centro Addestramento Professionale
385,IC,Ice Classes
386,NVR,National Vehicle Register
387,RIS,River Information Services
388,PPR,Protection Products and their residues
389,SCP,Sustainable Consumption and Production
390,SIV,Società Italiana Vetro
391,MTFs,Multilateral Trading Facilities 
392,CoHA,Cessation of Hostilities Agreement
393,DS,directionally solidified
394,WFP,world Food Programme
395,PN,particles number
396,OO,oo oo
397,EUTL,European Union Transaction Log
398,ETCs,exchange traded commodities
399,EPGs,electronic programme guides
400,IM,Independent Monitoring
401,SPLDs,Simple Programmable Logic Devices
402,CCNR,Central Commission for the Navigation of the Rhine
403,BNWAS,Bridge navigational watch alarm system
404,RB,RETAIL BANKING
405,CTP,Consolidated Tape Provider
406,EAR,Elementos agrícolas reducidos
407,ES,EQUITY Santander
408,NS,Nederlandse Spoorwegen
409,LEI,Legal entity identifier
410,MFF,MULTIANNUAL FINANCIAL FRAMEWORK
411,BAC,Banking Advisory Committee
412,TSCR,Total SREP capital requirement
413,CSTs,Common Safety Targets
414,MEST,Mouse Ear Swelling Test
415,SPRL,siliconised polyester release liner
416,ISV,Intermediate Statements of Verification
417,GVWR,Gross Vehicle Weight Rating
418,UAVs,Unmanned Aerial Vehicles 
419,VINs,vehicle identification numbers
420,SA,standardised approaches
421,SOPs,standard operating procedures 
422,CEV,Carbon Equivalent Value
423,ICE,il Commercio Estero
424,OSH,occupational safety and health
425,TSI,technical specification for interoperability
426,SWD,staff working documents
427,CET,Central European Time
428,RSPO,Roundtable for Sustainable Palm Oil
429,RATE,RECORDED AT THE EXCHANGE
430,PAHs,polycyclic aromatic hydrocarbons
431,IG,Implementation Guidance
432,TC,temperature control
433,EGC,exhaust gas cleaning
434,TSCR,Total SREP Capital Requirement
435,IORPs,institutions for occupational retirement provision
436,RID,road illumination devices
437,IPA,Instrument for Pre-Accession Assistance
438,LPG,liquid petroleum gas
439,RDM,ROED DANSK MALKERACE
440,EUS,Epizootic ulcerative syndrome
441,OG,Offene Gesellschaft
442,EBF,European Banking Federation
443,KP,kilometre point
444,SCI,Site of Community Importance
445,OECD,Organisation for Economic Cooperation and Development
446,SFA,Supervisory Formula Approach
447,CQS,credit quality steps
448,UNHCR,United Nations High Commissioner for Refugees
449,NDA,Nutrient dextrose agar
450,ADR,alternative dispute resolution
451,IICP,Incentives for International Competitiveness Programme
452,SDRs,Special drawing rights
453,DC,direct current
454,BCBS,Basel Committee on Banking Supervision
455,AV,AT0000937503 VOE
456,CACM,Central American Common Market
457,ES,Equity Spain
458,IEV,International electrotechnical vocabulary
459,HC,humidity correction for
460,SFT,Securities Financing Transactions
461,IMCIs,industrial monitoring and control instruments
462,LOEC,Lowest observed effect concentration
463,SCHER,Scientific Committee on Health and Environmental Risks
464,EC,EUROPEAN COMMUNITY
465,EDBI,Export Development Bank of Iran
466,ISM,International Safety Management
467,SSR,Secondary surveillance radar
468,EEA,European Economic Area the
469,NPAA,national programme for the adoption of the acquis
470,CER,Certified Emission Reductions
471,AIS,Automatic Identification System
472,OEM,Original equipment manufacturer
473,BBSRC,Biotechnology and Biological Sciences Research Council
474,FAP,Fatty acid profiling
475,NADA,National Aerospace Development Administration
476,PECS,Predicted environmental concentrations in soil
477,SSC,send sequence counter
478,ICT,information and communication technology
479,SER,Sociaal Economische Raad
480,YPGA,Yeast Peptone Glucose Agar
481,GT,Gross tonnage
482,ADT,Average daily turnover
483,FID,Flame Ionisation Detector
484,NCPB,National Cereals and Produce Board
485,BIA,BASIC INDICATOR APPROACH
486,ASAs,ammunition storage areas 
487,OCL,overhead contact line
488,LPA,Latvian Privatization Agency
489,FIUs,Financial Intelligence Units
490,GD,Guidance Document
491,INS,inertial navigation systems
492,ISTA,International Seed Testing Association
493,CRS,Catholics Relief Service
494,ECCP,European Climate Change Programme
495,SALW,Small Arms and Light Weapons
496,PAM,Programme alimentaite mondial
497,CAC,Codex Alimentarius Commission
498,CRS,certified reference substances
499,ECEC,effective cation exchange capacity
500,BCF,bulked continuous filament
501,IRR,internal rate of return
502,GSI,GEAR SHIFT INDICATORS
503,ERUs,emission reduction units
504,DME,Distance Measuring Equipment
505,SCBA,self-contained compressed-air-operated breathing apparatus
506,DJIA,Dow Jones Industrial Average
507,ANP,Aircraft Noise and Performance
508,CSR,corporate social responsibility
509,URN,Uniform Resource Name
510,RBr,Retail Brokerage
511,INN,International Non-proprietary Name
512,SVC,Spring viraemia of carp
513,PAM,Programme ahmentaire mondial
514,SCLs,specific concentration limits
515,US,United States
516,PDP,Positive Displacement Pump
517,CSI,Container Security Initiative
518,ETCs,Exchange Traded Commodities
519,RAS,Radio Astronomy Service
520,JCCC,Joint Customs Cooperation Committee
521,AG,account of Gildemeister
522,EPWC,eco programme water consumption
523,ΔΔΣΠ,Διακλαδική Διεύθυνση Στρατιωτικών Πληροφοριών
524,REIT,Real Estate Investment Trust
525,TP,Theoretical Performance
526,DUC,Determined Unit Cost
527,IIa,IN ICES DIVISIONS
528,PE,Periodic Evaluation
529,FDB,Fællesforeningen for Danmarks Brugsforeninger
530,HSC,high speed craft
531,IMF,International Monetary Fund
532,CIU,collective investment undertakings
533,MLS,Microwave Landing System
534,TSEs,transmissible spongiform encephalopathies
535,RIAI,Royal Institute of Architects of Ireland
536,CAS,Chemical Abstract Services
537,CBD,chronic beryllium disease
538,IIP,International investment position
539,AIF,alternative investment fund
540,FMUs,Forest Management Units
541,DT,degradation time
542,TI,technical information is on the
543,SEEMP,Ship Energy Efficiency Management Plan the
544,MSC,Maritime Safety Committee
545,EAR,Elementos agrícolas reduzidas
546,NPV,net present value
547,BAT,Best Available Techniques
548,VIN,vehicle identification number
549,ICP,inductively coupled plasma
550,FCGS,Flemish Cap Groundfish survey
551,EDP,Emission Durability Period
552,GSI,Gear shift indicator
553,LIU,Licence Information Unit
554,LLNA,Local Lymph Node Assay
555,IC,Interoperability constituents
556,SDR,Special drawing rights
557,US,US8679141031 STI
558,APRC,Annual percentage rate of charge
559,NCPPB,National Collection of Plant Pathogenic Bacteria
560,EPA,electronic plotting aid
561,PB,pressure blower
562,PTUW,Pocztowe Towarzystwo Ubezpieczeń Wzajemnych
563,CTP,Consolidated tape provider
564,HSEN,Harmonized System Explanatory Notes
565,CAP,Common Agricultural Policy
566,ACER,Agency for Cooperation of Energy Regulators
567,CLBV,Citrus leaf Blotch virus
568,SOPs,Standard operating procedures
569,EFRAG,European Financial Reporting Advisory Group
570,FAC,femur acceptability criterion
571,BIS,Bank of International Settlements
572,SA,Standardised Approach
573,DC,damping chamber
574,EETS,European Electronic Toll Service
575,EMP,electro magnetic pulse
576,JAA,Joint Aviation Authorities
577,IAA,Internal assessment approach
578,TPS,Train Protection system
579,CMCs,cash management companies
580,DEA,Direct Electronic Access
581,EMF,Energy measurement function
582,CAB,conformity assessment body
583,SDME,Speed and distance measuring equipment
584,EQS,ENVIRONMENTAL QUALITY STANDARDS
585,HF,Hydrogen Fluoride
586,ETNs,Exchange Traded Notes
587,DF,dilution factor
588,ES,ELECNOR S.A.
589,ORF,Oil Reserve Fund
590,TFG,Transitional Federal Government
591,ICRC,International Committee of the Red Cross
592,PPS,purchasing power standard
593,ESSC,European Statistical System Committee
594,CMR,coated mechanical reels
595,SA,Saudi Arabia
596,HSD,high sleep disturbance
597,PSI,public sector information
598,LA,Licensing Authorities
599,DSC,Dynamically Supported Craft
600,SMP,significant market power
601,ASV,air saturation value
602,APRC,annual percentage rate of charge
603,IAS,International Accounting Standard
604,SOPs,standard operating procedures
605,TPS,Train Protection System
606,IU,International Units
607,ILO,International Labour Organisation
608,HPLC,High Performance Liquid Chromatography
609,NHAS,NS Herring Acoustic Survey
610,ODF,optical distribution frame
611,INS,Inertial navigation systems
612,TED,Tenders Electronic Daily
613,FH,flight hours
614,MMAD,mass median aerodynamic diameters
615,MSPS,mega samples per second
616,UN,UN numbers
617,SWE,Simulated Work Environment
618,ECDIS,Electronic chart display and information system
619,IDA,Industrial Development Authority
620,ISGS,Islamic State in the Greater Sahara
621,IDE,intelligent dedicated equipment
622,ISP,isokinetic sampling probe
623,EC,examination certificate of
624,VoD,video on demand
625,SAC,Special Area of Conservation
626,DIN,Dissolved Inorganic Nitrogen
627,DTT,digital terrestrial television
628,NMa,Nederlandse Mededingingsautoriteit
629,IASC,International Accounting Standards Committee
630,IRUs,indefeasible rights of use
631,ICBN,International Code of Botanical Nomenclature
632,ADI,acceptable daily intake
633,FERA,Food and Environment Research Agency
634,FSC,Financial Supervision Commission
635,SR,sound ray
636,CISs,communication and information systems
637,GTN,GENERAL TECHNOLOGY NOTE
638,EUA,European unit of account
639,CSM,Common safety methods
640,APAs,approved publication arrangements
641,IRFNA,inhibited red fuming nitric acid
642,RCC,Regional Cooperation Council
643,CPC,Common Products Classification
644,EMA,European Medicines Agency
645,HPLC,HIGH PERFORMANCE LIQUID CHROMATOGRAPHY
646,NR,neutral red
647,DRSPs,data reporting services providers
648,CR,CREDIT RISK
649,CPVO,Community Plant Variety Office
650,EEA,European Environment Agency
651,IP,internet protocol
652,SS,SE0000310336 SWMA
653,CDE,Centre for Development of Enterprise
654,AOEL,Acceptable Operator Exposure Level
655,IIa,IV and ICES Division
656,ESD,Emission Scenario Document
657,ICS,Import Credit Scheme
658,IMV,Initial Market Valuation
659,BRNV,Black raspberry necrosis virus
660,AC,Access conditions
661,VDR,voyage data recorders
662,RMC,Ramped Modal Cycle
663,HCV,High Calorific Value
664,AG,aid for Gildemeister
665,NA,Nutrient Agar
666,OCT,overseas countries and territories
667,WTO,World Trade Organisation
668,VM,variation margin
669,GPC,Gel permeation chromatography
670,DC,DK0010181676 CARLB
671,FCC,Federal Communications Commission
672,SFN,Single Frequency Network
673,EC,establish the certificate of
674,ISR,international simple resale
675,ANC,acid neutralising capacity
676,SRD,Sectoral Reference Document
677,LAPL,light aircraft pilot licence
678,IC,Ice Class
679,CFV,Critical Flow Venturi
680,OTF,organised trading facility or
681,LEL,lower explosion limit
682,DCS,DIRECT CREDIT SUBSTITUTES
683,OSB,Oriented strand board
684,BCG,Barakat Consulting Group
685,TEFs,toxic equivalency factors
686,LCV,Low Calorific Value
687,CCGT,combined cycle gas turbines
688,PN,Particle Number
689,ADI,Acceptable Daily Intake
690,PBS,phosphate buffered saline
691,FRA,Forward Rate Agreement
692,BIA,Basic indicator approach
693,MTFs,multilateral trading facilities
694,FFT,Fast Fourier Transform
695,DVM,Degree in Veterinary Medicine
696,BECS,base emission control strategy
697,EAGGF,European Agriculture Guidance and Guarantee Fund
698,PAM,Programme alimentaire mondial
699,RSCs,regional sea conventions
700,NOx,nitrogen oxide
701,WIPO,World Intellectual Property Organisation
702,NAFO,Northwest Atlantic Fisheries Organisation
703,TM,towable mass
704,ASC,Air Safety Committee
705,ESCo,energy service company
706,NERA,National Economic Research Associates
707,EPPO,European Public Prosecutor Office
708,ISAs,International Standards on Auditing
709,RAT,Risk Analysis Tool
710,GDF,Gaz de France
711,EMFF,European Maritime and Fisheries Fund
712,SSPE,securitisation special purpose entity
713,UN,UMI46YPGBLUE4VGNNT48 NEE
714,DA,de anilina
715,AAUs,assigned amount units hereinafter
716,BNWAS,Bridge Navigational Watch Alarm System
717,BKD,Bacterial kidney disease
718,GIC,General Industry criteria
719,PE,Period Evaluation
720,MRL,Maximum Residue Limit
721,SCP,Scientific Committee on Plants
722,MAP,Multi-annual Action Plan
723,HAC,Head acceptability criterion
724,KNMI,Koninklijk Nederlands Meteorologisch Instituut
725,CNTD,controlled nucleation thermal deposition
726,NLS,NOXIOUS LIQUID SUBSTANCES
727,BCD,Binary Code Decimal
728,GAP,good agricultural practice
729,SEED,system for exchange of excise data
730,PSF,polyester staple fibres
731,GPA,Government Procurement Agreement
732,TSE,transmissible spongiform encephalopathy
733,SIT,silicon intensifier target
734,DG,Deutsche Genossenschaftsbank
735,ECCS,electrically chromium coated steel
736,TP,Total Phosphorus
737,UTIs,Unique Transaction Identifiers
738,RMSEP,root mean squared error of prediction
739,SEPA,Single Euro Payments Area
740,SPo,safety precautions for operators
741,PNR,Passenger Name Record
742,IOSA,IATA Operational Safety Audit
743,GSN,GENERAL SOFTWARE NOTE
744,LED,light emitting diodes
745,CGT,Compensated gross tonnage
746,ARC,AIRWORTHINESS REVIEW CERTIFICATE
747,DPO,Defensie Pijpleiding Organisatie
748,ICNCP,International Code of Nomenclature for Cultivated Plants
749,HIAST,Higher Institute for Applied Sciences and Technology
750,SSR,security sector reform
751,SLRV,Strawberry latent ringspot virus
752,ADR,Alternative dispute resolution
753,GMP,Good Manufacturing Practice
754,IA,IIn Annex
755,HCS,Heading control system
756,CFP,common fisheries policy
757,BT,bringing together
758,CTV,Citrus tristeza virus
759,TTCAs,title transfer collateral arrangements
760,PNR,passenger name record
761,POPs,Persistent Organic Pollutants Stockholm
762,EFI,Exploding foil initiators
763,EUMM,European Union Monitoring Mission
764,MB,mass balance
765,ESA,European Space Agency
766,ACAs,accession compensatory amounts
767,COD,chemical oxygen demand
768,NSSS,North Sea Sandeels Survey
769,OPL,Operational passenger limitation
770,DOC,dissolved organic carbon
771,BEICF,business environment and internal control factors
772,ISO,International Standards Organisation
773,ML,maximum level
774,EFIM,e Finanziamento Industria Manufatturiera
775,UNSC,United Nations Security Council
776,CoC,Certificates of competency
777,NGE,net grant equivalent
778,GLP,good laboratory practice
779,SAE,Society of Automotive Engineers
780,LED,light emitting diode
781,URG,UNITED REPROCESSORS GMBH
782,VAS,vehicle alarm systems
783,EEIG,European Economic Interest Grouping
784,UTS,ultimate tensile strength
785,MSI,marine safety information
786,TAC,total allowable catches
787,ESA,European Stabilisation Agreement
788,MIGA,Multilateral Investment Guarantee Agency
789,IC,integrated circuit
790,SC,substitution between CMR and
791,JRC,Joint Research Centre
792,AMC,acceptable means of compliance
793,NATO,North Atlantic Treaty Organization
794,SANS,Second Academy of Natural Sciences
795,SGEI,Service of General Economic Interest
796,GMHPs,GENETICALLY MODIFIED HIGHER PLANTS
797,EQF,European Qualifications Framework
798,EBA,European Banking Authority
799,NYHA,New York Heart Association
800,DRL,day-time running lights
801,OO,O OO
802,NBBE,Nederlands Bureau Brandweer Examens
803,SAA,Security Accreditation Authority
804,SIP,Seat index point
805,ESCB,European System of Central Banks
806,APIs,application programming interfaces
807,EC,environmental category of
808,GLP,Good Laboratory Practice
809,PCR,Polymerase chain reaction
810,ATR,Answer To Reset
811,HC,HC Caramiñal
812,NA,Nutrient agar
813,PTT,particulate transfer tube
