ngrams,count
step 3 credit quality,320
step 4 credit quality,320
step 4 credit,320
quality step 4 credit,320
step 4 credit quality step,320
credit quality step 1 credit,320
quality step 4 credit quality,320
quality step 3 credit quality,320
quality step 3 credit,320
credit quality step 3 credit,320
step 3 credit quality step,320
step 0 credit,320
credit quality step 4 credit,320
step 3 credit,320
quality step 1 credit quality,320
credit quality step 5 credit,320
quality step 1 credit,320
quality step 0 credit quality,320
step 1 credit quality step,320
step 1 credit quality,320
step 1 credit,320
step 0 credit quality step,320
step 5 credit,320
step 0 credit quality,320
quality step 0 credit,320
credit quality step 0 credit,320
quality step 5 credit,320
step 5 credit quality,320
step 5 credit quality step,320
quality step 5 credit quality,320
quality step 2 credit quality,319
step 2 credit,319
step 2 credit quality,319
quality step 2 credit,319
step 2 credit quality step,319
credit quality step 2 credit,319
contract,318
relation,314
undertaking,313
changes,310
position,309
days,308
procedures,308
governments,307
holdings,307
infrastructure,306
public,306
purpose,306
operational risk,305
class,305
necessary,303
therefore,298
banks,298
risks,297
supervisory,291
portfolio,290
name,287
tax,287
costs,286
gaap,284
competent authority,284
corporate,283
undertakings,283
debt securities,282
request,279
details,278
shock,276
official,275
liquid,272
technical standards,271
solvency,269
central banks,269
states,268
obligations,268
gains,268
adjustment,267
providers,267
day,267
funds requirements,265
own funds requirements,265
credit institutions,265
counterparties,264
national gaap,264
protection,264
method,264
capacity,263
loan,263
values,261
person,261
impairment,259
framework,258
least,254
references,254
payment service,254
exposure value,253
average,253
securitisation positions,252
ecb,250
additional,248
measures,247
different,247
potential,246
system,246
initial,244
advances,243
execution,243
liquid market,243
threshold,242
balance,237
breakdown,236
event,236
force,235
activity,235
commodity,233
scope,232
official journal,232
journal,232
future,231
sa,231
respect,229
sector entities,229
new,229
process,228
index,228
sum,227
deposits,227
size,226
financial liabilities,226
persons,226
short,225
investments,224
nature,223
bond,223
transitional,223
direct,222
interest rate,221
member states,218
pursuant,217
guarantees,217
options,216
equities,216
possible,216
single,215
financial sector,215
publication,214
commitments,214
provision,213
access,213
default,213
security,209
financial corporations,208
cost,208
service providers,208
terms,208
equivalent,206
ratio,206
liquidity,206
absolute value,205
systems,205
customer,204
swaps,204
eligible,204
capital requirement,203
cell,202
country,202
foreign,202
hedge,199
otc,197
book,197
split,197
well,197
financial sector entities,197
negative,197
compliance,196
venues,195
regulatory technical,195
general governments,194
factors,194
equity instruments,194
products,193
segmentation,193
effect,192
standard,189
events,189
regulatory technical standards,189
directly,189
effective,188
paragraphs,188
share,188
swap,188
technical provisions,187
identification,187
treatment,187
types,186
investors,185
classes,185
exposure amount,185
rules,184
best,183
limited,183
audit,182
property,181
statement,181
contact,180
certain,180
criterion,179
emission,178
model,178
fitch,177
second,177
text,177
notional,177
greater,177
original,175
place,175
gmbh,174
obligation,172
securitisations,171
provider,170
individual,170
scale,170
issuer,169
nominal,168
list,167
resolution,167
comprehensive,167
funding,166
shares,166
agency,166
equal,165
form,165
weight,165
result,164
change,164
balance sheet,163
trading venues,163
thresholds,163
expenses,162
retail,159
debt instruments,159
agreement,159
credit derivatives,158
transparency,158
bad art,158
allowances,158
leverage,157
risk weight,157
ltd,157
action,156
current,156
cooperation,156
term,155
significant investment,155
structure,155
europe,154
sft,153
annual,152
international,152
interests,150
settlement,150
accounting directive,149
accounts,148
repository,148
category,147
recognition,147
esma,147
rating agency,147
benchmarks,146
meet,144
netting,144
trade repository,144
consolidated,143
methodology,141
payment service providers,141
segmentation criterion,140
solvency capital requirement,140
solvency capital,140
comprehensive income,139
measurement,138
united,138
authentication,138
infrastructure corporate,138
option,137
end,137
ama,136
another,136
sts,136
contractual,136
banking,136
leverage ratio,135
joint,134
customers,134
transfer,133
flows,133
dollar,133
conversion,133
short positions,132
previous,132
able,132
party,132
performance,132
parties,132
policies,131
stage,131
populated,131
board,131
g,131
simplifications,130
references national,130
references national gaap,130
reinsurance undertaking,129
templates,129
treaty,129
factor,129
reinsurance undertakings,129
sensitive,129
prudent,129
euro,129
clearing member,129
accounting directive art,128
economic,128
line,128
directive art,128
policy,127
responsible,127
margin,127
benchmark,126
indirect clients,126
indirect clearing,125
indirect client,125
stock,125
recoverables,125
material,124
members,124
forward,124
long,123
prior,123
operations,123
daily,123
charge,123
elements,123
estimate,123
republic,122
credit rating,122
equity risk,122
entry,122
absolute values,121
allowance,121
commercial,121
draft,121
ratio exposure,120
circumstances,120
benefits,120
financial guarantees,120
leverage ratio exposure,120
function,120
effects,119
periods,119
participants,119
consistent,119
definition,119
description,119
ccp,119
impact,118
company,118
similar,118
groups,118
functions,118
foreign exchange,117
electronic,117
quantity,117
bank,116
sp,116
futures,116
outflows,116
amendments,115
finance,115
subsidiaries,114
distribution,113
nace,113
years maturity,112
differences,112
format,112
control,111
eea,111
tier,111
crr art,110
credit protection,110
volume,110
address,110
years maturity bucket,110
risk management,110
hedges,109
relevance,109
commodities,109
systematic,109
home,109
senior,109
advice,109
total amount,108
previously,108
benefit,108
title,108
prudent valuation,107
unique,107
techniques,107
market data,107
sts securitisation,106
sfts,106
cases,106
households,106
crm,106
leverage ratio exposure value,106
european securities,106
ratio exposure value,106
disclosure,105
kingdom,105
sale,105
input,105
reports,104
derecognition,104
however,104
dea,104
minimum,103
charges,103
notional amount,103
positive,103
review,102
oversight,102
brussels,102
european commission,102
authorisation,102
market risk,101
monetary,101
tax assets,101
open,101
en official,100
en official journal,100
european union l,100
investors service,100
markets authority,100
union l,100
rates,100
moody,100
contribution,100
entirety,100
receipt,100
corporate equities,100
risk exposure,99
repositories,99
way,99
staff,99
transaction data,98
manner,98
conflicts,98
trade repositories,98
arrangement,98
payments,97
fees,97
operators,97
service provider,97
lis,97
identifier,97
behalf,97
ssti,97
president,96
depositary,96
fund,96
forwards,96
difference,96
communication,95
eea relevance,95
buffer,95
de,95
last,95
global,94
commission the president,94
investigation,94
assumptions,93
million,93
administrative,93
currencies,93
components,93
fully,93
units,93
participant,92
agreements,92
characteristics,92
measure,92
appendix,92
directly applicable,92
mitigation,92
unit,91
lending,91
trading book,90
opinion,90
financing,90
month,90
supervisory authority,90
eba,90
united kingdom,89
lgd,89
maximum,89
cash flows,89
asset class,89
hedge accounting,88
juncker,88
full,88
countries,88
categories,88
portfolios,88
input data,88
inflows,88
package,87
multiple,87
ecai,87
reasonable,87
records,87
host,87
ccps,87
consolidation,87
principal,86
extent,86
allocation,86
fee,86
valuer,86
contributions,85
isin,85
deposit,85
personal,85
risk mitigation,85
return,85
facilities,84
approaches,84
dioxide,83
reasons,83
algorithmic trading,83
algorithmic,83
carbon dioxide equivalent,83
carbon dioxide,83
carbon,83
compatible,83
processes,83
dioxide equivalent,83
alternative,82
collective,82
emission allowance,82
sme,82
cqs,82
notice,82
disposal,81
delivery,81
weeks,81
respective,81
natural,81
ancillary,81
basic,81
nace regulation,80
premium,80
practice,80
insert,80
institution has a significant,80
law,80
claims,80
substitution,79
registration,79
important,79
tons,79
otherwise,79
sufficient,79
clear,79
payment institution,79
regards,79
value adjustments,78
capital instruments,78
weighted exposure,78
capital charge,78
auditors,78
institution has a significant investment,78
loan commitments,78
weights,78
research,78
obligor,78
frequency,78
average daily,77
temporary,77
applicable accounting,77
months maturity,77
home member,77
demand,77
emission allowances,76
servicing,76
gross carrying,76
exercise,76
immovable,76
results,76
initial absolute,76
applicant,76
volatility,75
collective investment,75
home member state,75
lines,75
already,75
independent,75
nominal amount,75
concerned,75
exemption,75
prudential,75
normal,75
complexity,75
codes,74
debtor,74
separately,74
mechanisms,74
addition,74
immediate,74
documents,74
rights,74
vertical,74
high,74
spv,74
tp,74
rating scale,74
estimates,74
conversion factors,74
free,74
digits,74
steps,73
body,73
ctp,73
risk weights,73
j,73
deduction,73
dt,73
consultation,73
months maturity bucket,73
right,73
twentieth day,72
twentieth,72
host member,72
overall,72
derivative contracts,72
determination,72
classification,72
immovable property,72
spv recoverables,72
central counterparties,72
user,72
actions,72
corporates,72
extension,71
accounting framework,71
strategy,71
finrep,71
users,71
actual,71
european supervisory,71
dollar duration,70
adna,70
suitability,70
n n,70
likely,70
dates,70
cover,70
regulated market,69
monitoring,69
gaap compatible,69
local,69
risk exposure amount,69
national gaap compatible,69
france,69
commission decision,69
statements,68
national gaap compatible ifrs,68
percentage,68
outside,68
compatible ifrs,68
large,68
limits,68
telephone,68
email,68
gaap compatible ifrs,68
clearing services,68
annexes,68
contact details,68
threshold value,68
gross carrying amount,68
regular,68
data loan,68
iso,68
transaction data loan,68
loss ifrs,67
procedure,67
strong,67
joint ventures,67
fitch ratings,67
tax liabilities,67
professional,67
operator,67
exposure amounts,67
counterparty credit,67
common,67
formula,67
prices,67
ventures,67
encumbrance,67
references national gaap compatible,67
special,67
administrator,66
assets that are exposures,66
european supervisory authority,66
liabilities sensitive,66
controls,66
real,66
scheme,66
deposits ecb,66
lac,66
nominal value,66
recovery,66
correlation,66
quantitative,65
ava,65
mtf,65
z,65
external,65
intangible,64
own account,64
initial recognition,64
forbearance,64
accordingly,64
justified,64
issuance,64
largest,64
status,64
crr the amount,64
hr,64
parent,64
consideration,64
account servicing,64
calculations,63
exposure class,63
experience,63
infrastructure corporate equities,63
investment services,63
lac dt,63
main,63
organisational,63
account servicing payment,63
limit,63
repurchase,62
associates,62
synthetic,62
infrastructure equities,62
risk adjustments,62
infrastructure investment,62
customer authentication,62
host member state,62
strong customer authentication,62
adequate,62
sheet exposures,62
strong customer,62
parameters,61
cds,61
central governments,61
credit risk adjustments,61
intangible assets,61
tier 1 capital,61
integrity,61
loss absorbing capacity,61
reference date,61
mortgages,61
variation,61
percentile,61
financial activity,61
overnight,61
detailed,60
issuers,60
test,60
contingent,60
sectors,60
central bank,60
monitor,60
median,60
indication,60
excess,60
decrease,60
receivables,59
otc derivatives,59
cross,59
floor,59
longer,59
regulations,59
geographical,59
agent,59
analysis,59
meaning,59
credit risk mitigation,59
total risk,59
dta,58
objectives,58
total exposures,58
goodwill,58
liability,58
swiss,58
consultations,58
partial,58
several,58
record,58
good,58
rwa,57
methodologies,57
bb,57
aggregate,57
internalisers,57
immediately,57
systematic internalisers,57
target,57
models,57
companies,57
year maturity,56
payment transactions,56
europe limited,56
insolvency,56
notification,56
market participants,56
development,56
pool,56
applicable accounting framework,56
sign,56
otf,56
stakeholder group,55
stakeholder,55
v part,55
intermediary,55
supervision,55
ongoing,55
higher,55
outstanding,55
quotes,55
investor,54
conduct,54
dividend,54
later,54
locom,54
financial statements,54
total risk exposure,54
year maturity bucket,54
decisions,54
modification,54
sa exposures,54
exposures subject,54
assets ias,54
expense,54
taxes,54
situation,54
present,54
payment service provider,54
deductions,54
assessments,53
account information,53
financial markets,53
forms,53
orderly,53
degree,53
open public,53
capital treatment,53
order book,53
lower,52
average daily number,52
government,52
sources,52
h,52
fraud,52
submission,52
pension,52
combination,52
regional,52
memorandum,52
daily number,52
governance,52
instruments ias,52
european banking,52
financial practice,52
ability,52
equivalence,52
document,52
identification code,52
efficient,52
relationship,52
mandatorily,52
original exposure,52
tradable,52
single currency,52
view,52
clearly,52
premiums,52
differentiated capital,51
differentiated capital treatment,51
life,51
payer,51
algorithms,51
exposure classes,51
flow,51
financial assets mandatorily,51
assets mandatorily,51
segmentation criteria,51
custody,51
definitions,51
termination,51
characters,51
act,51
related costs,51
ag,51
residence,51
eec,51
lead,51
conflict,51
withdrawal,51
credit assessment,51
public consultations,51
effectively,51
outsourcing,50
medium,50
regional governments,50
loss amount,50
interest rate risk,50
rate risk,50
cfds,50
fair value changes,50
methods,50
counterparty sectors,50
japan,50
mitigation techniques,50
indirect clearing services,50
insurance products,50
thus,50
spvs,50
link,50
trades,50
investee,50
management body,50
aa,50
value changes,50
uniform,50
aggregation,50
verification,49
credit losses,49
geographical breakdown,49
stock exchange,49
residual,49
pre,49
transitional period,49
designation,49
concentration,49
apa,49
periodic,49
reference period,49
inspection,49
originator,49
instantaneous,49
consistency,49
directives,49
share premium,49
features,49
total risk exposure amount,49
range,49
interest income,49
r,49
south,49
ancillary services,48
resources,48
equity investments,48
legal entity,48
market value,48
principles,48
impaired,48
irrespective,48
open public consultations,48
identity,48
underwriting,48
mkr,48
insurance undertaking,48
transfers,48
update,48
special purpose,48
early,48
regime,48
accounting standards,48
risk mitigation techniques,48
peso,48
market operators,48
respectively,48
whole,48
content,48
assets sensitive,48
initial absolute values,48
technical information,48
plans,48
essential,47
equity instruments ecb,47
component,47
passport,47
sentence,47
indirect holdings,47
coverage,47
branch,47
interface,47
package order,47
proportionate,47
algorithm,47
week,47
office,47
statutory,47
avas,47
sts securitisation positions,47
counterparty credit risk,47
sanctions,47
equity instruments ias,47
financial year,47
instruments ecb,47
close,47
closed list,47
kroll,46
plan,46
kroll bond,46
kroll bond rating agency,46
rm,46
knowledge,46
clearing arrangements,46
residential,46
committee,46
gross loss,46
kroll bond rating,46
energy,46
measurement system,46
approval,46
identification number,46
confidentiality,46
banking authority,46
bbb,46
fx,46
profile,46
insurance intermediary,46
lis thresholds,46
reinsurance contracts,46
client orders,46
intelligence,46
initiation,46
bond rating agency,46
bond rating,46
intermediaries,46
transitional provisions,46
european banking authority,46
loss adjustments,46
threshold value threshold value,45
public sector,45
hand,45
hr ratings,45
threshold value threshold,45
direct holdings,45
forbearance measures,45
risk measurement,45
needs,45
manufacturers,45
critical,45
value threshold,45
value threshold value,45
bad references national,45
insurance product,45
pd,45
single name,45
dagong europe,45
dagong,45
exchanges,45
cap,45
reserves,45
exemptions,45
global ratings,45
quantitative liquidity,45
bad references national gaap,45
weighted exposure amount,45
bad references,45
satisfied,45
trading activity,45
website,44
ratings limited,44
krone,44
españa,44
reciprocal,44
recommendation,44
local authorities,44
allowance derivatives,44
blank,44
inflation,44
mechanism,44
small,44
financial instruments belonging,44
opening,44
balances,44
money,44
assistance,44
calendar,44
trade percentile,44
deutschland,44
deutschland gmbh,44
tradable assets,44
negative changes,44
aaa,44
admission,44
seller,44
exposures the leverage ratio,44
fact,44
securities financing,44
emission allowance derivatives,44
italia,44
k,44
exposures the leverage,44
exposures the leverage ratio exposure,44
implementation,43
supervisory framework,43
fundamental,43
scale aaa,43
uncertainty,43
receipts,43
czech,43
finrep counterparty,43
derivative contract,43
reconciliation,43
investment research,43
target market,43
tangible,43
best estimate,43
trading system,43
vehicles,43
proceedings,43
payment services,43
sl,43
borrower,43
commodity derivatives,43
question,43
parameter,43
requests,43
temporary differences,42
risk measurement system,42
reciprocal cross,42
family,42
computation,42
assurance,42
substitution effects,42
structures,42
cash outflows,42
finrep counterparty sectors,42
quality assurance,42
sovereigns,42
key,42
soon,42
advance,42
final,42
expert,42
remote,42
operational risk measurement,42
objective,42
depositary receipts,42
derogation,42
working days,41
financing transactions,41
business line,41
explanation,41
bb b,41
location,41
acquisition,41
international accounting,41
china,41
flag,41
investigations,41
oil,41
contact person,41
payment initiation,41
securities financing transactions,41
criminal,41
prejudice,41
united states,41
powers,41
crd,41
operational risk measurement system,40
priority,40
ig,40
minority,40
senior management,40
distributors,40
latest,40
bbb bb,40
spreads,40
profitability,40
base,40
processing,40
dedicated,40
pre conversion,40
sec,40
bodies,40
ccc,40
issue,40
light,40
technique,40
simplification,40
capital requirements,39
cross holdings,39
indices,39
support,39
secure,39
rating scale aaa,39
responsibilities,39
business lines,39
rate term,39
future profitability,39
investment advice,39
times,39
back,39
separate,39
reciprocal cross holdings,39
organisations,39
unfunded,39
non,39
certificates,39
immediate counterparty,39
insurance undertakings,39
mkr sa,39
tables,39
condition,39
current period,39
unfunded credit protection,39
public oversight,39
unfunded credit,39
unsettled,38
risk transfer,38
singapore,38
kong,38
bbb bb b,38
gold,38
monetary value,38
special purpose vehicles,38
risk profile,38
hong,38
alphanumerical,38
commitment,38
leg,38
legal references,38
complete,38
active,38
forborne,38
cost ifrs,38
transmission,38
foreign currency,38
aa a bbb bb b,38
purpose vehicles,38
threshold floor,38
aa a bbb bb,38
rating gmbh,38
aa a bbb,38
context,38
credentials,38
yield,38
hong kong,38
substantial,38
zero,38
example,38
repurchase agreements,38
investment property,38
reserve,37
pensions,37
indicator,37
software,37
windstorm,37
contributor,37
buyer,37
indirect clearing arrangements,37
discretion,37
cash inflows,37
movements,37
audit firms,37
own estimates,37
grade,37
importance,37
exception,37
insurance intermediaries,37
relevant persons,37
additional requirements,37
multilateral,37
jurisdiction,37
portfolio management,37
communications,37
million adna,37
enforcement,37
counterparty sector,37
mic,37
flood,37
significant increase,36
payment service user,36
timing,36
time period,36
fire,36
inputs,36
australian,36
service user,36
tasks,36
template f,36
international accounting standards,36
net positions,36
next,36
zone,36
administrators,36
model risk,36
unique code,36
qualitative,36
relevant information,36
existence,36
reduction,36
currency swaps,36
reversal,36
transferable,36
export,36
cc,36
gross holdings,36
pre conversion factors,36
transitional periods,36
reasonably,36
clearing members,36
accurate,36
cash flow,36
b ccc,35
countercyclical,35
type 1 securitisation,35
role,35
disposal groups,35
simple,35
liquidity criterion,35
days greater,35
median value,35
finma,35
account information service,35
months greater,35
first time,35
information service,35
previous reporting,35
establishment,35
ama own funds,35
markets stakeholder group,35
abuse,35
fundamental spreads,35
credit exposures,35
ama own,35
availability,35
investment undertakings,35
cras,35
operation,35
markets stakeholder,35
matter,35
collective investment undertakings,35
relevant national,34
specific risk,34
systematic internaliser,34
months transaction data,34
comments,34
basket,34
market abuse,34
mrel,34
suspension,34
stability,34
cerved,34
credit default,34
scope ratings,34
apa ctp,34
credit risk mitigation techniques,34
cva,34
percentile threshold,34
cyprus,34
months transaction,34
percentile threshold floor,34
internaliser,34
timely,34
crif,34
scr,34
rating sp,34
scenario,34
page,34
levels,34
dbrs,34
connected clients,34
economic hedges,34
turnover,34
switzerland,34
pursuit,34
personal data,34
occupational,33
practices,33
resolution authority,33
credit rating agency,33
subsequent,33
weighted exposure amounts,33
exclusively,33
credit institution,33
bb b ccc,33
senior sts,33
investment service,33
international organisations,33
liquid market asset,33
damage,33
liquid market asset class,33
health,33
liquidation,33
interest rate term,33
kind,33
connection,33
payment transaction,33
otf apa ctp,33
otf apa,33
segment,33
total number,33
equity exposures,33
market asset class,33
market asset,33
even,33
haircuts,33
individually,33
security credentials,33
risk event,33
operational risk event,33
bbb bb b ccc,33
senior sts securitisation,33
subsidiary,32
application this regulation,32
publicly,32
unencumbered,32
funds requirement,32
hqla,32
asset management,32
new events,32
every,32
case the price,32
standard formula,32
notional currency,32
earthquake,32
specific credit,32
choice,32
original maturity,32
documentation,32
deal,32
dea provider,32
smooth,32
trading systems,32
specific positions,32
situations,32
sa template,32
physical,32
own funds requirement,32
second indirect,32
shareholders,32
see page,32
specific credit risk,32
false,32
yes,32
fire risk,32
instantaneous loss,32
hail,32
derivative transactions,32
ama own funds requirements,32
grades,32
outputs,31
borrowing,31
remuneration,31
offering,31
appropriateness,31
notes,31
derivative transaction,31
sponsor,31
prudential requirements,31
valuations,31
etns,31
infrastructure corporate investment,31
estate,31
passport application,31
ehqla,31
income ifrs,31
papers,31
potential clients,31
others,31
principal amount,31
diversification,31
portion,31
relevant credit,31
assets bad,31
basic own funds,31
basic own,31
accounting portfolios,31
bi,31
investment products,31
expiry,31
additional information,31
otc derivative,31
asset classes,31
netting agreement,31
prospective,31
corporate investment,31
crm techniques,31
market conditions,31
fmia,31
cic,31
transitional type 1 securitisation,31
transitional type,31
contributors,30
increases,30
continuous,30
rate derivatives,30
durable,30
durable medium,30
trading activities,30
free deliveries,30
errors,30
initiation service,30
africa,30
single currency swaps,30
etcs,30
peso duration,30
synthetic holdings,30
indirect clearing arrangement,30
clearing arrangement,30
zealand,30
value threshold value threshold,30
european insurance,30
specific credit risk adjustments,30
retail exposures,30
lapse,30
deliveries,30
insurance distributors,30
relevant credit exposures,30
payment initiation service,30
related derivatives,30
interest rate derivatives,30
attributable,30
relevant competent,30
cash collateral,30
sufficiently,30
new zealand,30
provisional,30
rebate,30
finance products,30
occupational pensions,30
occupational pensions authority,30
figure,30
rebate rate,30
financial institutions,30
pensions authority,30
action type,30
earlier,30
aware,30
relevant person,30
alphanumerical characters,30
validation,30
treasury,30
dd,30
earnings,30
volatility adjustment,30
organisational requirements,30
export credit,30
relative,30
equity derivatives,30
public sector entities,30
reason,30
otc derivative contracts,29
retention,29
debt instrument,29
together,29
portfolio hedge,29
australia,29
figures,29
transparent,29
zones,29
own debt,29
minority interests,29
collection,29
risk zone,29
generally,29
removal,29
comprehensive income ifrs,29
risk factor,29
possibility,29
course,29
operational risk management,29
sts securitisations,29
financial reporting,29
solely,29
correlation coefficients,29
market price,29
coefficients,29
partially,29
paper,29
commodity derivative,29
obligor grade,29
trading ifrs,29
transparency requirements,29
account information service providers,29
information service providers,29
buckets,28
exposure pre,28
initial absolute value,28
original exposure pre,28
original exposure pre conversion,28
x,28
proceeds,28
exposure pre conversion,28
compression,28
risk factors,28
trading day,28
future taxable,28
real estate,28
residual maturity,28
canadian,28
internal approaches,28
ad,28
assets subject,28
compensation,28
evidence,28
issues,28
taxable,28
mapping,28
size specific,28
promptly,28
double,28
comparison,28
dea clients,28
own debt securities,28
reductions,28
restrictions,28
probable,28
individuals,28
tangible assets,28
creditors,28
region,27
interest rates,27
stock exchanges,27
disruption,27
consent,27
legal entity identifier,27
franc,27
remarks,27
letter,27
manipulation,27
transfer mechanisms,27
origination,27
master,27
commission income,27
regular basis,27
sets,27
sovereign,27
entity identifier,27
ultimate,27
audit entities,27
goods,27
true,27
unregulated,27
risk zones,27
trigger,27
larger,27
general remarks,27
devices,27
risk transfer mechanisms,27
maintenance,27
response,27
metal,27
months transaction data loan,27
slovenia,27
swiss franc,27
transferable securities,27
properly,27
accounting value,27
gross capital,26
average risk,26
major,26
retail client,26
highest,26
low,26
net position,26
exceptional,26
compliance function,26
detail,26
accessible,26
pools,26
adequacy,26
gross capital charge,26
ciu,26
auction,26
delay,26
ladder,26
quote,26
various,26
capital buffer,26
floor trade,26
threshold floor trade,26
initiation service providers,26
dividends,26
amounts recoverable,26
organisation,26
omnibus,26
version,26
notionally,26
notionally eligible,26
mm,26
piece,26
group structure,26
source,26
reliable,26
recoverable,26
developments,26
submodule,26
maturity ladder,26
percentile threshold floor trade,26
dependent,26
template c,26
var,26
financial years,26
production,26
ecais,26
international financial,26
financial system,26
isin code,26
specifications,26
gross solvency capital,26
stages,26
banking book,26
agencies,26
gross solvency capital requirement,26
cds index,26
conversion factor,26
payment account,26
payment initiation service providers,26
standard forms,26
effectiveness,26
gross solvency,26
guarantor,26
package orders,26
still,26
amendment,26
cooperation arrangements,26
penalty,25
outcome,25
payment instruments,25
nat cat simplifications,25
exposure pre conversion factors,25
model ias,25
canada,25
irba,25
gross loss amount,25
forborne exposures,25
balance sheet value,25
bloomberg,25
consequence,25
quarterly,25
different types,25
nat cat,25
best execution,25
recoveries,25
sheet value,25
statutory auditors,25
nat,25
south africa,25
furthermore,25
series,25
code identifying,25
iraq,25
proportional,25
growth,25
instead,25
maturity date,25
financial collateral,25
strategies,25
data collateral,25
distributions,25
nace codes,25
revenue,25
element,25
commissions,25
investor protection,25
cat simplifications,25
transaction data collateral,25
ch,25
accuracy,25
cat,25
related parties,25
accounting balance sheet,25
accounting balance,25
presentation,24
ab,24
flood risk,24
lapse risk,24
liabilities ias,24
market operator,24
risk concentration,24
annual contribution,24
suitability assessment,24
credit insurance,24
deductible,24
operational risk events,24
securitisation position,24
loss ias,24
present value,24
windstorm risk,24
amountannex,24
common equity,24
natural person,24
risk submodule,24
potentially,24
inclusion,24
ownership,24
adoption,24
continuity,24
amountannex v,24
net solvency,24
net solvency capital,24
unencumbered assets,24
depositary receipt,24
net solvency capital requirement,24
interfaces,24
quantitative liquidity criterion,24
part 3 title,24
total own,24
total own funds,24
reclassification,24
plant,24
block,24
single loss,24
obligor grades,24
net capital,24
net capital charge,24
involvement,24
export credit insurance,24
b c,24
acquirer,24
risk events,24
net ifrs,24
derecognised,24
significantly,24
responsibility,24
background,24
average risk weight,24
tick size,24
second indirect client,24
ratings gmbh,23
european rating,23
absence,23
bonitätsbeurteilung,23
rating agency ad,23
ratings europe limited,23
spread research,23
cerved rating agency,23
hermes rating,23
ratings europe,23
simultaneously,23
management function,23
cerved rating,23
apas,23
annual contributions,23
long short,23
ratings ltd,23
ratings co,23
ratings de,23
für,23
ratings de méxico,23
certainty,23
rating ag,23
rating agency ltd,23
euler hermes rating gmbh,23
european rating agency,23
assekuranz,23
assekurata,23
gesellschaft für,23
dagong europe credit rating,23
assekurata assekuranz,23
euler,23
dagong europe credit,23
sequence,23
undrawn,23
influence,23
gesellschaft für bonitätsbeurteilung,23
inc,23
gesellschaft für bonitätsbeurteilung gmbh,23
sas,23
inc rating,23
parameter return,23
euler hermes,23
hermes,23
inc rating sp,23
individual annual,23
hermes rating gmbh,23
management sl,23
srl,23
bonitätsbeurteilung gmbh,23
rating agency europe,23
economist,23
modefinance,23
operational functions,23
economist intelligence,23
economist intelligence unit,23
rating srl,23
gesellschaft,23
economist intelligence unit ltd,23
euler hermes rating,23
agency ad,23
intelligence unit,23
dbrs ratings,23
credit rating srl,23
creditreform rating,23
axesor risk management,23
creditreform rating ag,23
internal control,23
unrated,23
japan credit rating agency,23
axesor risk,23
etc,23
axesor risk management sl,23
japan credit rating,23
japan credit,23
variation margin,23
smaller,23
days past,23
intelligence unit ltd,23
credits,23
marketing,23
intelligence ratings ltd,23
xvi,23
intelligence ratings,23
people,23
accounting balance sheet value,23
agency europe,23
eurorating,23
tolerance,23
eurorating sp,23
agency ltd,23
icap group,23
stressi,23
europe credit,23
cius,23
pound,23
strict,23
transitional adjustments,23
creditreform,23
europe credit rating,23
europe credit rating srl,23
multiplier,23
ra,23
ra gmbh,23
lender,23
modifications,23
equipment,23
axesor,23
opr,23
italy,23
bond rating agency europe,23
global ratings europe limited,23
spot,23
sft report,23
icap,23
financial asset,23
